dataset_name,dataset_url,dataset_download_date,dataset_last_updated
Coming Soon Template-SD23-Story-Pages | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Coming-Soon-Template-SD23-Story-Pages/2ad2-fiym,09/18/2023,09/08/2023
Approved Product Label Search | Open Data Portal,https://data.texas.gov/dataset/Approved-Product-Label-Search/2cjh-3vae,09/20/2023,08/02/2023
BOUNDARIES_bulky_collection_routes | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/BOUNDARIES_bulky_collection_routes/2cnh-gqev,09/20/2023,07/06/2023
CPE_2016_Projects | Open Data | City of Austin Texas,https://data.austintexas.gov/Budget-and-Finance/CPE_2016_Projects/2bkm-bfuz,09/20/2023,04/10/2023
EMS - Quarterly OMD Clinical Performance Indicators | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/EMS-Quarterly-OMD-Clinical-Performance-Indicators/2cxe-9vbj,02/26/2023,12/07/2022
2022 Biennial Performance Report - Agency Highlights,https://data.texas.gov/stories/s/2022-Biennial-Performance-Report-Agency-Highlights/2czp-d6x5,09/18/2023,04/10/2023
Austin's Small Scale Green Infrastructure | Open Data | City of Austin Texas,https://data.austintexas.gov/Environment/Austin-s-Small-Scale-Green-Infrastructure/2cgz-29c8,02/26/2023,09/15/2022
Short Term Rental Locations | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/Short-Term-Rental-Locations/2fah-4p7e,02/26/2023,01/30/2023
Trust Companies | Open Data Portal,https://data.texas.gov/See-Category-Tile/Trust-Companies/2hc4-g945,02/26/2023,03/01/2019
Strategic Measure_Number of buildings roadways and properties with reduced flood risk due to City efforts | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/Strategic-Measure_Number-of-buildings-roadways-and/2d9z-igbz,09/20/2023,09/14/2023
EOA.E.1.b - Number of persons experiencing homelessness - Annual Count of Sheltered Homeless Persons in the Homeless Management Information System [HMIS] | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/EOA-E-1-b-Number-of-persons-experiencing-homelessn/2ejn-hrh2,09/18/2023,05/12/2023
CPS 1.3 FBSS - Children Entering Family Preservation Services with Race/Ethnicity FY2013-2022 | Open Data Portal,https://data.texas.gov/dataset/CPS-1-3-FBSS-Children-Entering-Family-Preservation/2hki-6gbm,09/20/2023,03/07/2023
CPI 3.9 Abuse/Neglect Investigations and Alternative Response: Alleged and Confirmed Victim Recidivism FY2013-FY2022 | Open Data Portal,https://data.texas.gov/dataset/CPI-3-9-Abuse-Neglect-Investigations-and-Alternati/2h73-cxnv,02/26/2023,01/31/2023
Digital Resources | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Digital-Resources/2did-h2yz,09/18/2023,02/14/2023
HE.C.4 - Percentage of Parks and Recreation programs and services that are ADA accessible | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/HE-C-4-Percentage-of-Parks-and-Recreation-programs/2f3z-65h9,09/18/2023,09/17/2023
Special Purpose District Individual Debt Obligations | Open Data Portal,https://data.texas.gov/Government-and-Taxes/Special-Purpose-District-Individual-Debt-Obligatio/2k9b-g8bm,02/26/2023,02/14/2023
Traffic Signals | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Traffic-Signals/2jyi-zs82,09/18/2023,03/03/2022
EMS - Monthly Finance Measures | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/EMS-Monthly-Finance-Measures/2mb6-tu96,02/26/2023,09/13/2020
2018 Fair Administration | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/2018-Fair-Administration/2i45-3hip,09/18/2023,05/21/2022
2022 SSP - Goal 3: Strategic Digital Transformation,https://data.texas.gov/stories/s/2022-SSP-Goal-3-Strategic-Digital-Transformation/2mzj-8rbh,09/18/2023,04/10/2023
Strategic Measure_CC.D.2 Historic Preservation | Open Data | City of Austin Texas,https://data.austintexas.gov/Locations-and-Maps/Strategic-Measure_CC-D-2-Historic-Preservation/2nqj-zxmi,09/20/2023,04/10/2023
EMS - FY2017 Safety Report Risk Levels | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/EMS-FY2017-Safety-Report-Risk-Levels/2ph5-gt5g,09/20/2023,04/10/2023
M.A.4 - Percent of development projects that meet or exceed drive alone trip targets | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/M-A-4-Percent-of-development-projects-that-meet-or/2nus-e2iu,09/18/2023,04/10/2023
Edwards Aquifer Recharge Zone | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Edwards-Aquifer-Recharge-Zone/2qfz-txzd,09/20/2023,09/16/2023
Median Earnings of Creative Sector Occupations CLL.B.1 | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Median-Earnings-of-Creative-Sector-Occupations-CLL/2qxc-8cme,02/26/2023,05/12/2022
District 5 Safe Routes Improvement Projects | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/District-5-Safe-Routes-Improvement-Projects/2muz-5nnj,09/18/2023,04/10/2023
City of Austin Council Agenda Items | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/City-of-Austin-Council-Agenda-Items/2pje-cg27,09/18/2023,03/02/2022
Goal 2 | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Goal-2/2nbh-qg9m,09/18/2023,03/10/2022
University of Texas Good Systems and ATCEMS Hospitalization time series | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/University-of-Texas-Good-Systems-and-ATCEMS-Hospit/2srm-55iz,02/26/2023,06/26/2018
Families of Children Receiving Child Care Services 2021 Q4 | Open Data Portal,https://data.texas.gov/dataset/Families-of-Children-Receiving-Child-Care-Services/2u7v-ds9t,09/20/2023,09/08/2023
Census 2020 - Year in Review | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Census-2020-Year-in-Review/2mxk-w2gp,09/18/2023,02/14/2023
UTILITIESCOMMUNICATION.LinearDrainREFDOC | Open Data | City of Austin Texas,https://data.austintexas.gov/City-Infrastructure/UTILITIESCOMMUNICATION-LinearDrainREFDOC/2ryy-gteu,02/26/2023,02/14/2023
Texas State Expenditures by County - 2019 | Open Data Portal,https://data.texas.gov/Government-and-Taxes/Texas-State-Expenditures-by-County-2019/2x5x-m677,02/26/2023,02/07/2023
Corridor Construction Program FAQ | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Corridor-Construction-Program-FAQ/2thy-rv8s,09/18/2023,06/15/2020
Emergency Medical Services | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Emergency-Medical-Services/2uwz-evfe,09/18/2023,06/26/2018
PLANNINGCADASTRE_site_plan_case | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/PLANNINGCADASTRE_site_plan_case/2u4n-hmgw,09/20/2023,04/10/2023
CPE-FAQ | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/CPE-FAQ/2yky-dxtb,09/18/2023,06/28/2022
Wildfire Hazard Potential Treatment Areas | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/Wildfire-Hazard-Potential-Treatment-Areas/2x9t-5ctm,02/26/2023,02/08/2023
APS 2.1 Intake Priority by County and Region FY2013-FY2022 | Open Data Portal,https://data.texas.gov/dataset/APS-2-1-Intake-Priority-by-County-and-Region-FY201/32he-s5g8,09/20/2023,04/10/2023
Transportation and Land Use • Goal 1 | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Transportation-and-Land-Use-Goal-1/2ue5-4whe,09/18/2023,10/17/2022
Partnerships: Corridors For Complete Communities | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Partnerships-Corridors-For-Complete-Communities/2wen-3en4,09/18/2023,04/10/2023
PEI 1.2 Average Monthly Youth Served by County Region and PEI Program FY2013-2022 | Open Data Portal,https://data.texas.gov/dataset/PEI-1-2-Average-Monthly-Youth-Served-by-County-Reg/32tp-f774,02/26/2023,02/14/2023
Mobility Annual Plan | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Mobility-Annual-Plan/2xkd-czyh,09/20/2023,03/22/2019
Strategic Measure_HE.F.5_Number of City supported fresh food access points in census tracts with higher than average food insecurity rates | Open Data | City of Austin Texas,https://data.austintexas.gov/Health-and-Community-Services/Strategic-Measure_HE-F-5_Number-of-City-supported-/325g-iwjn,02/26/2023,12/01/2022
Aviation | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Aviation/2zg4-763b,09/18/2023,04/10/2023
School Nutrition Programs - Contact Information and Site-Level Program Participation - Program Year 2020-2021 | Open Data Portal,https://data.texas.gov/dataset/School-Nutrition-Programs-Contact-Information-and-/3369-uxbk,09/20/2023,08/11/2023
EMS-Opiate Overdoses by Race FY 2018 | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/EMS-Opiate-Overdoses-by-Race-FY-2018/33bu-eair,02/26/2023,04/28/2021
A Mighty Good Time | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/A-Mighty-Good-Time/3422-9m9t,09/18/2023,07/28/2023
Strategic_Measures_Percent of all ages and abilities bicycle network completed | Open Data | City of Austin Texas,https://data.austintexas.gov/Transportation-and-Mobility/Strategic_Measures_Percent-of-all-ages-and-abiliti/35gj-4yax,09/20/2023,05/29/2023
LGBTQIA+ Quality of Life Study All Responses | Open Data | City of Austin Texas,https://data.austintexas.gov/City-Government/LGBTQIA-Quality-of-Life-Study-All-Responses/34qp-i76m,02/26/2023,12/06/2021
VA VET Population 2018 | Open Data Portal,https://data.texas.gov/dataset/VA-VET-Population-2018/39iu-xiyj,09/20/2023,04/10/2023
2021 IT Leadership Survey Trends | Open Data Portal,https://data.texas.gov/dataset/2021-IT-Leadership-Survey-Trends/39c4-xuns,02/26/2023,07/07/2016
S.E.1 - Number and percentage of City departments that have documented critical infrastructure following sector-specific guidance | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/S-E-1-Number-and-percentage-of-City-departments-th/3779-anyd,09/18/2023,02/14/2023
M.A.3 - Percent split of modes by City of Austin employees based on commute to work including off-peak drive-alone trips | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/M-A-3-Percent-split-of-modes-by-City-of-Austin-emp/39pk-y8ma,09/18/2023,04/10/2023
Safety Dashboard | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Safety-Dashboard/35fg-g2fw,09/18/2023,05/04/2022
Our Equity-Focused Approach | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Our-Equity-Focused-Approach/39e9-j93k,09/18/2023,02/14/2023
Slaughter Lane Corridor | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Slaughter-Lane-Corridor/35rd-kzw7,09/20/2023,07/20/2023
M.C.3 - Percentage of population that has access to innovative public transit service or is within one quarter mile of regular fixed route transit | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/M-C-3-Percentage-of-population-that-has-access-to-/3agy-grwi,09/18/2023,02/14/2023
**UNDER CONSTRUCTION** TEST Crash Report Data | Open Data | City of Austin Texas,https://data.austintexas.gov/Transportation-and-Mobility/-UNDER-CONSTRUCTION-TEST-Crash-Report-Data/3aut-fhzp,09/20/2023,05/19/2023
Sustainability Office 2018 Annual Report | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Sustainability-Office-2018-Annual-Report/32xy-99jr,09/18/2023,04/10/2023
West 31st Street/Shoal Creek Boulevard (Lamar Boulevard to 34th Street) | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/West-31st-Street-Shoal-Creek-Boulevard-Lamar-Boule/37n8-iquw,09/18/2023,04/10/2023
Active Credit Access Business Licenses | Open Data | City of Austin Texas,https://data.austintexas.gov/City-Government/Active-Credit-Access-Business-Licenses/3buj-7jze,09/20/2023,09/05/2023
2019 Response to Resistance Data | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/2019-Response-to-Resistance-Data/3bfz-mri4,02/26/2023,04/02/2019
Strategic Measure_Adopted Operations and Maintenance (O&M) Tax Rate as a Percentage of the Effective O&M Tax Rate | Open Data | City of Austin Texas,https://data.austintexas.gov/Budget-and-Finance/Strategic-Measure_Adopted-Operations-and-Maintenan/3d7x-x4q8,09/20/2023,03/24/2023
Energy Efficiency Peak Demand Reduction | Open Data | City of Austin Texas,https://data.austintexas.gov/Utilities-and-City-Services/Energy-Efficiency-Peak-Demand-Reduction/3d4a-wzcg,09/20/2023,09/16/2023
Austintexas.gov  - Top 10 Searches | Open Data | City of Austin Texas,https://data.austintexas.gov/City-Government/Austintexas-gov-Top-10-Searches/3e38-4hji,09/20/2023,04/10/2023
CPS 2.6 Conservatorship - Children With Legal Statuses Granted  During Fiscal Year by Region FY2012-2021 | Open Data Portal,https://data.texas.gov/dataset/CPS-2-6-Conservatorship-Children-With-Legal-Status/3dyi-r8gg,02/26/2023,09/13/2020
CLL.C.1 - Percentage of residents who report feeling welcome in Austin | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/CLL-C-1-Percentage-of-residents-who-report-feeling/3dbr-g3ga,09/18/2023,04/10/2023
Number Neighborhood Plans Rezonings Adopted by Council | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/3byu-b5d2,09/18/2023,09/11/2023
Utilities - 2020 Year in Review | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Utilities-2020-Year-in-Review/3cc6-3c3d,09/18/2023,08/02/2023
Public Improvement Bonds Key Terms | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Public-Improvement-Bonds-Key-Terms/3dr4-376w,09/18/2023,03/20/2023
Licensed Fuels Taxpayers | Open Data Portal,https://data.texas.gov/Government-and-Taxes/Licensed-Fuels-Taxpayers/3fc3-wv7y,02/26/2023,10/10/2018
Performance Measure Definition: Stroke Alert Bundle Completion | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Performance-Measure-Definition-Stroke-Alert-Bundle/3dzk-w3d3,09/18/2023,07/22/2020
BOUNDARIES_brush_collection_routes | Open Data | City of Austin Texas,https://data.austintexas.gov/Locations-and-Maps/BOUNDARIES_brush_collection_routes/3edi-mfjx,09/20/2023,08/10/2023
Purchase Order Quantity Price detail for Commodity/Goods procurements | Open Data | City of Austin Texas,https://data.austintexas.gov/Budget-and-Finance/Purchase-Order-Quantity-Price-detail-for-Commodity/3ebq-e9iz,02/26/2023,05/03/2017
Communications & Technology Management | 2021 Annual Report | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Communications-Technology-Management-2021-Annual-R/3bez-pfrr,09/18/2023,02/14/2022
Sales – kWh by Customer Class | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Sales-kWh-by-Customer-Class/3gcv-xuei,09/20/2023,09/11/2023
GTW.D.3 - Percentage of City employees who believe the City uses results of the Listening to the Workforce survey to make improvements in the workplace | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/GTW-D-3-Percentage-of-City-employees-who-believe-t/3fm3-4xds,09/18/2023,02/14/2023
HE.E.5.c - Number and percentage of buildings roadways and properties whose exposure to wildfire risk have decreased due to City efforts | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/HE-E-5-c-Number-and-percentage-of-buildings-roadwa/3h5e-xc5y,09/18/2023,04/10/2023
Innovation Office FY2017 Feedback Survey Responses | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Innovation-Office-FY2017-Feedback-Survey-Responses/3hvf-8s6x,09/20/2023,04/10/2023
Summer Meal Programs - Seamless Summer Option (SSO) - Contacts and Program Participation - Program Period 2019 | Open Data Portal,https://data.texas.gov/dataset/Summer-Meal-Programs-Seamless-Summer-Option-SSO-Co/3hpz-ajxk,02/26/2023,06/26/2018
All Permitted Sales Tax Locations and Local Sales Tax Responsibility | Open Data Portal,https://data.texas.gov/dataset/All-Permitted-Sales-Tax-Locations-and-Local-Sales-/3kx8-uryv,02/26/2023,07/18/2022
Monthly Per Capita Consumption | Open Data Portal,https://data.texas.gov/dataset/Monthly-Per-Capita-Consumption/3j53-reqt,09/20/2023,04/10/2023
Goal 3 | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Goal-3/3hbi-nwe4,09/18/2023,06/26/2020
Campaign Finance - Contributions | Open Data | City of Austin Texas,https://data.austintexas.gov/City-Government/Campaign-Finance-Contributions/3kfv-biw6,09/20/2023,04/10/2023
2016_FH_FSD_BondRatings_6713thru6718 | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/2016_FH_FSD_BondRatings_6713thru6718/3idy-d2yi,09/18/2023,09/07/2023
Solar On City Facilities | Open Data | City of Austin Texas,https://data.austintexas.gov/Utilities-and-City-Services/Solar-On-City-Facilities/3kyh-ggqg,02/26/2023,02/14/2023
Preventing Injuries | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Preventing-Injuries/3jnr-4t3p,09/18/2023,04/10/2023
EMS - Top 10 Primary Impressions by Fiscal Year | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/EMS-Top-10-Primary-Impressions-by-Fiscal-Year/3npz-rjst,09/20/2023,04/10/2023
Summer Meal Programs – Seamless Summer Option (SSO) – Contacts and Program Participation – Program Period 2017 | Open Data Portal,https://data.texas.gov/Agriculture/Summer-Meal-Programs-Seamless-Summer-Option-SSO-Co/3mj7-4ebx,02/26/2023,10/22/2021
Local Sales Tax Allocation Payment Detail | Open Data Portal,https://data.texas.gov/dataset/Local-Sales-Tax-Allocation-Payment-Detail/3p4v-vsr3,09/20/2023,04/10/2023
Fire | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/3jfc-eb8s,09/18/2023,04/10/2023
Science Festival Company Sponsors | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Science-Festival-Company-Sponsors/3p9m-wp4t,09/20/2023,04/10/2023
Austin Water Utility | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Austin-Water-Utility/3n8c-w3pv,09/18/2023,09/17/2023
Check Verification Entities | Open Data Portal,https://data.texas.gov/See-Category-Tile/Check-Verification-Entities/3r75-8hp4,02/26/2023,11/12/2020
Dataset Inventory Missing Metadata | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Dataset-Inventory-Missing-Metadata/3p8t-8d3g,09/20/2023,04/10/2023
EMS - FY2017 Annual Report Safety Concerns | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/EMS-FY2017-Annual-Report-Safety-Concerns/3pvb-jvb7,02/26/2023,05/02/2022
Health - 2021 Year in Review | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Health-2021-Year-in-Review/3k5e-6h6d,09/18/2023,08/30/2023
Building Footprints Year 2013 | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Building-Footprints-Year-2013/3qcc-8uhz,02/26/2023,12/02/2022
Summer Meal Programs – Summer Food Service Program (SFSP) – Meal Count Information – Program Period 2016 | Open Data Portal,https://data.texas.gov/Agriculture/Summer-Meal-Programs-Summer-Food-Service-Program-S/3sma-rzdr,09/20/2023,04/10/2023
Point Time Count | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Point-Time-Count/3qcs-na7y,09/20/2023,07/20/2023
Issued Construction Permits | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Issued-Construction-Permits/3syk-w9eu,09/20/2023,04/10/2023
GTW.E.3 - Percentage of residents who believe Austin values dialogue between residents and government | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/GTW-E-3-Percentage-of-residents-who-believe-Austin/3rz5-26z3,09/18/2023,05/27/2016
Survey Monument | Open Data | City of Austin Texas,https://data.austintexas.gov/dataset/Survey-Monument/3thd-rq73,02/26/2023,02/07/2023
Texas Department of Criminal Justice Releases FY 2019 | Open Data Portal,https://data.texas.gov/dataset/Texas-Department-of-Criminal-Justice-Releases-FY-2/3w3b-hsqs,09/20/2023,06/02/2023
2017 Annual Crime | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/2017-Annual-Crime/3t4q-mqs5,02/26/2023,10/29/2021
EMS-Opiate Overdoses by Age Group and Gender FY 2018 | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/EMS-Opiate-Overdoses-by-Age-Group-and-Gender-FY-20/3syx-vuaj,09/20/2023,09/17/2023
Strategic Measure_S.C.1 | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/Strategic-Measure_S-C-1/3tuc-5fjr,09/20/2023,04/10/2023
Texas State House Districts Plan H414 (2021-2022 based on 2010 Census) | Open Data Portal,https://data.texas.gov/dataset/Texas-State-House-Districts-Plan-H414-2021-2022-ba/3xaz-c3yv,09/20/2023,07/06/2023
Texas Bond Review Board,https://data.texas.gov/stories/s/Texas-Bond-Review-Board/3wup-mcbk,09/18/2023,02/09/2023
Impervious Cover 2021 | Open Data | City of Austin Texas,https://data.austintexas.gov/Building-and-Development/Impervious-Cover-2021/3ya2-4qw9,09/20/2023,04/10/2023
Strategic Measure_Number and percentage of persons who successfully exit from homelessness | Open Data | City of Austin Texas,https://data.austintexas.gov/Health-and-Community-Services/Strategic-Measure_Number-and-percentage-of-persons/3yhd-8eiv,09/20/2023,09/05/2023
Insurance agencies and businesses approved to manage insurance-related products | Open Data Portal,https://data.texas.gov/dataset/Insurance-agencies-and-businesses-approved-to-mana/3yqc-fcdt,02/26/2023,01/31/2023
APS 3.1 Investigations:  Activity by County FY2013-FY2022 | Open Data Portal,https://data.texas.gov/dataset/APS-3-1-Investigations-Activity-by-County-FY2013-F/3zr8-huug,02/26/2023,09/12/2022
2022 SSP - DIR Program Support,https://data.texas.gov/stories/s/2022-SSP-DIR-Program-Support/3zgx-pigb,09/18/2023,02/14/2023
CPS 4.4 Adoption - Disabling Conditions of Children in Adoption Placements by Region with Demographics FY2013-2022 | Open Data Portal,https://data.texas.gov/dataset/CPS-4-4-Adoption-Disabling-Conditions-of-Children-/42uy-5zb6,09/20/2023,04/10/2023
Total Number of Cases Filed | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/3xef-y8ng,09/18/2023,12/03/2020
Teri Road espanol | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/Teri-Road-espanol/3xbx-ne6y,09/18/2023,04/10/2023
CPS 1.8 FBSS - Families Receiving Family Preservation Services on August 31 FY2013-2022 | Open Data Portal,https://data.texas.gov/dataset/CPS-1-8-FBSS-Families-Receiving-Family-Preservatio/44ic-7ps3,09/20/2023,04/10/2023
2020 Biennial Performance Report - Agency Highlights,https://data.texas.gov/stories/s/2020-Biennial-Performance-Report-Agency-Highlights/43xr-55dj,09/18/2023,04/10/2023
Strategic Measure_Number and Percentage of instances where people access court services other than in person and outside normal business hours (e.g. phone mobile application online expanded hours) – Municipal Court | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/Strategic-Measure_Number-and-Percentage-of-instanc/43rc-wcea,09/20/2023,06/08/2023
School Nutrition Programs – Meal Reimbursement Information – Program Year 2017-2018 | Open Data Portal,https://data.texas.gov/dataset/School-Nutrition-Programs-Meal-Reimbursement-Infor/464k-6uwc,09/20/2023,09/16/2023
AARC Calendar | Open Data | City of Austin Texas,https://data.austintexas.gov/Recreation-and-Culture/AARC-Calendar/42ix-g4e3,02/26/2023,02/14/2023
EMS - Quarterly Clinical Measures - Trauma Alert | Open Data | City of Austin Texas,https://data.austintexas.gov/Public-Safety/EMS-Quarterly-Clinical-Measures-Trauma-Alert/43eg-euh2,02/26/2023,02/03/2023
S.C.5 - Number and percentage of City of Austin employees who have completed emergency management and preparedness response training (if appropriate to their position) | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/S-C-5-Number-and-percentage-of-City-of-Austin-empl/424w-7wfp,09/18/2023,08/17/2023
EOA.F.3 - Number of apprenticeship and internship positions offered by City of Austin. | Open Data | City of Austin Texas,https://data.austintexas.gov/stories/s/EOA-F-3-Number-of-apprenticeship-and-internship-po/45mr-a27j,09/18/2023,04/10/2023
HE.C.4_PARD (Accessibility by Program Category) | Open Data | City of Austin Texas,https://data.austintexas.gov/Recreation-and-Culture/HE-C-4_PARD-Accessibility-by-Program-Category-/442v-a4y3,02/26/2023,12/09/2022
